item_id,developer,title,genres,price,release_year
761140,Kotoshiro,Lost Summoner Kitty,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",4.99,2018.0
643980,Secret Level SRL,Ironbound,"['Free to Play', 'Indie', 'RPG', 'Strategy']",0.0,2018.0
670290,Poolians.com,Real Pool 3D - Poolians,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",0.0,2017.0
767400,彼岸领域,弹炸人2222,"['Action', 'Adventure', 'Casual']",0.99,2017.0
773570,,,,2.99,
772540,Trickjump Games Ltd,Battle Royale Trainer,"['Action', 'Adventure', 'Simulation']",3.99,2018.0
774276,Poppermost Productions,SNOW - All Access Basic Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",9.99,2018.0
774277,Poppermost Productions,SNOW - All Access Pro Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",18.99,2018.0
774278,Poppermost Productions,SNOW - All Access Legend Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",29.99,2018.0
768800,RewindApp,Race,"['Casual', 'Indie', 'Racing', 'Simulation']",0.0,2018.0
768570,Qucheza,Uncanny Islands,"['Action', 'Indie', 'Simulation', 'Early Access']",0.0,
724910,,,,0.0,
770380,Stegalosaurus Game Development,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",10.99,2018.0
768880,Copperpick Studio,Beach Rules,"['Casual', 'Indie']",3.99,2018.0
765320,Ghulam Jewel,Planetarium 2 - Zen Odyssey,"['Casual', 'Indie', 'Simulation']",2.99,2018.0
773650,Apillo,The first thrust of God,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.59,2018.0
774271,Poppermost Productions,SNOW - Starter Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",14.99,2018.0
773690,Apillo,The first thrust of God - All Aircrafts,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.99,2018.0
774279,Poppermost Productions,SNOW - Lifetime Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",59.99,2018.0
772590,,,,4.99,
640250,,,,2.99,
768060,Tero Lunkka,The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']",0.99,2018.0
711440,,,,0.99,
775880,FrozenPepper,RC Plane 3 - Canyon Scenario,"['Racing', 'Simulation', 'Sports']",2.99,2017.0
775881,FrozenPepper,RC Plane 3 - F-53B,"['Racing', 'Simulation', 'Sports']",2.99,2017.0
653960,Casey Labrack,DinoBlaster,"['Action', 'Indie']",4.99,2018.0
777910,,Robotpencil Presents: Understanding 3D for Concept,,4.99,2018.0
282010,Stainless Games Ltd,Carmageddon Max Pack,"['Action', 'Indie', 'Racing']",9.99,1997.0
70,Valve,Half-Life,['Action'],9.99,1998.0
752360,dev4play,Fallen Mage,"['Action', 'Indie', 'RPG']",1.99,2016.0
594200,,,,3.99,
520680,BlueLine Games,Lost Cities,"['Casual', 'Indie', 'Strategy']",0.0,2018.0
690410,Games by Brundle,Twisted Enhanced Edition,['Action'],0.0,2018.0
766850,ETGgames,Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']",0.99,2018.0
413120,ProjectorGames,Tactics Forever,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",0.0,2018.0
